2022-03-01 03:00:59,408 | cryptocurrency_data_ingestion | INFO | SUCCESS: Data aquired for: compound-usd-coin
2022-03-01 03:00:59,408 | cryptocurrency_data_ingestion | INFO | SUCCESS: Description aquired for: compound-usd-coin
2022-03-01 03:01:02,955 | cryptocurrency_data_ingestion | INFO | SUCCESS: Data aquired for: bitlux-otc
2022-03-01 03:01:02,955 | cryptocurrency_data_ingestion | INFO | SUCCESS: Description aquired for: bitlux-otc
2022-03-01 03:01:06,493 | cryptocurrency_data_ingestion | INFO | SUCCESS: Data aquired for: eos
2022-03-01 03:01:06,509 | cryptocurrency_data_ingestion | INFO | SUCCESS: Description aquired for: eos
2022-03-01 03:01:10,200 | cryptocurrency_data_ingestion | INFO | SUCCESS: Data aquired for: iota
2022-03-01 03:01:10,200 | cryptocurrency_data_ingestion | INFO | SUCCESS: Description aquired for: iota
2022-03-01 03:01:13,908 | cryptocurrency_data_ingestion | INFO | SUCCESS: Data aquired for: flow
2022-03-01 03:01:13,908 | cryptocurrency_data_ingestion | INFO | SUCCESS: Description aquired for: flow
2022-03-01 03:01:17,543 | cryptocurrency_data_ingestion | INFO | SUCCESS: Data aquired for: perspective-coin
2022-03-01 03:01:17,543 | cryptocurrency_data_ingestion | INFO | SUCCESS: Description aquired for: perspective-coin
2022-03-01 03:01:21,206 | cryptocurrency_data_ingestion | INFO | SUCCESS: Data aquired for: lido-staked-ether
2022-03-01 03:01:21,206 | cryptocurrency_data_ingestion | INFO | SUCCESS: Description aquired for: lido-staked-ether
2022-03-01 03:01:24,796 | cryptocurrency_data_ingestion | INFO | SUCCESS: Data aquired for: compound-dai
2022-03-01 03:01:24,796 | cryptocurrency_data_ingestion | INFO | SUCCESS: Description aquired for: compound-dai
2022-03-01 03:01:28,428 | cryptocurrency_data_ingestion | INFO | SUCCESS: Data aquired for: aave
2022-03-01 03:01:28,444 | cryptocurrency_data_ingestion | INFO | SUCCESS: Description aquired for: aave
2022-03-01 03:01:32,173 | cryptocurrency_data_ingestion | INFO | SUCCESS: Data aquired for: pancakeswap
2022-03-01 03:01:32,173 | cryptocurrency_data_ingestion | INFO | SUCCESS: Description aquired for: pancakeswap
2022-03-01 03:01:35,992 | cryptocurrency_data_ingestion | INFO | SUCCESS: Data aquired for: maker
2022-03-01 03:01:35,992 | cryptocurrency_data_ingestion | INFO | SUCCESS: Description aquired for: maker
2022-03-01 03:01:39,322 | cryptocurrency_data_ingestion | WARNING | Invalid slug obtained from API with coin name: harmony. Finding new coin.
2022-03-01 03:01:39,948 | cryptocurrency_data_ingestion | INFO | SUCCESS: Data aquired for: gala
2022-03-01 03:01:39,948 | cryptocurrency_data_ingestion | INFO | SUCCESS: Description aquired for: gala
2022-03-01 03:01:43,620 | cryptocurrency_data_ingestion | INFO | SUCCESS: Data aquired for: bittorrent
2022-03-01 03:01:43,620 | cryptocurrency_data_ingestion | INFO | SUCCESS: Description aquired for: bittorrent
2022-03-01 03:01:47,185 | cryptocurrency_data_ingestion | INFO | SUCCESS: Data aquired for: waves
2022-03-01 03:01:47,185 | cryptocurrency_data_ingestion | INFO | SUCCESS: Description aquired for: waves
2022-03-01 03:01:50,722 | cryptocurrency_data_ingestion | INFO | SUCCESS: Data aquired for: threshold-network-token
2022-03-01 03:01:50,722 | cryptocurrency_data_ingestion | INFO | SUCCESS: Description aquired for: threshold-network-token
2022-03-01 03:01:54,291 | cryptocurrency_data_ingestion | INFO | SUCCESS: Data aquired for: the-graph
2022-03-01 03:01:54,291 | cryptocurrency_data_ingestion | INFO | SUCCESS: Description aquired for: the-graph
2022-03-01 03:01:57,980 | cryptocurrency_data_ingestion | INFO | SUCCESS: Data aquired for: huobi-btc
2022-03-01 03:01:57,980 | cryptocurrency_data_ingestion | INFO | SUCCESS: Description aquired for: huobi-btc
2022-03-01 03:02:01,518 | cryptocurrency_data_ingestion | INFO | SUCCESS: Data aquired for: neo
2022-03-01 03:02:01,518 | cryptocurrency_data_ingestion | INFO | SUCCESS: Description aquired for: neo
2022-03-01 03:02:05,075 | cryptocurrency_data_ingestion | INFO | SUCCESS: Data aquired for: bitcoin-sv
2022-03-01 03:02:05,075 | cryptocurrency_data_ingestion | INFO | SUCCESS: Description aquired for: bitcoin-sv
2022-03-01 03:02:08,332 | cryptocurrency_data_ingestion | WARNING | Invalid slug obtained from API with coin name: kucoin-token. Finding new coin.
2022-03-01 03:02:08,894 | cryptocurrency_data_ingestion | INFO | SUCCESS: Data aquired for: egw-academy
2022-03-01 03:02:08,894 | cryptocurrency_data_ingestion | INFO | SUCCESS: Description aquired for: egw-academy
2022-03-01 03:02:12,451 | cryptocurrency_data_ingestion | INFO | SUCCESS: Data aquired for: zcash
2022-03-01 03:02:12,451 | cryptocurrency_data_ingestion | INFO | SUCCESS: Description aquired for: zcash
2022-03-01 03:02:16,129 | cryptocurrency_data_ingestion | INFO | SUCCESS: Data aquired for: stacks
2022-03-01 03:02:16,129 | cryptocurrency_data_ingestion | INFO | SUCCESS: Description aquired for: stacks
2022-03-01 03:02:19,792 | cryptocurrency_data_ingestion | INFO | SUCCESS: Data aquired for: mercury-protocol
2022-03-01 03:02:19,792 | cryptocurrency_data_ingestion | INFO | SUCCESS: Description aquired for: mercury-protocol
2022-03-01 03:02:23,077 | cryptocurrency_data_ingestion | WARNING | Invalid slug obtained from API with coin name: tigercoin. Finding new coin.
2022-03-01 03:02:23,781 | cryptocurrency_data_ingestion | INFO | SUCCESS: Data aquired for: the-bee-token
2022-03-01 03:02:23,781 | cryptocurrency_data_ingestion | INFO | SUCCESS: Description aquired for: the-bee-token
2022-03-01 03:02:27,037 | cryptocurrency_data_ingestion | WARNING | Invalid slug obtained from API with coin name: trueusd. Finding new coin.
2022-03-01 03:02:27,739 | cryptocurrency_data_ingestion | INFO | SUCCESS: Data aquired for: ecash
2022-03-01 03:02:27,739 | cryptocurrency_data_ingestion | INFO | SUCCESS: Description aquired for: ecash
2022-03-01 03:02:31,292 | cryptocurrency_data_ingestion | INFO | SUCCESS: Data aquired for: huobi-token
2022-03-01 03:02:31,292 | cryptocurrency_data_ingestion | INFO | SUCCESS: Description aquired for: huobi-token
2022-03-01 03:02:34,835 | cryptocurrency_data_ingestion | INFO | SUCCESS: Data aquired for: thorchain
2022-03-01 03:02:34,835 | cryptocurrency_data_ingestion | INFO | SUCCESS: Description aquired for: thorchain
2022-03-01 03:02:38,367 | cryptocurrency_data_ingestion | INFO | SUCCESS: Data aquired for: egw-capital
2022-03-01 03:02:38,367 | cryptocurrency_data_ingestion | INFO | SUCCESS: Description aquired for: egw-capital
2022-03-01 03:02:41,639 | cryptocurrency_data_ingestion | WARNING | Invalid slug obtained from API with coin name: quant. Finding new coin.
2022-03-01 03:02:42,202 | cryptocurrency_data_ingestion | INFO | SUCCESS: Data aquired for: osmosis
2022-03-01 03:02:42,202 | cryptocurrency_data_ingestion | INFO | SUCCESS: Description aquired for: osmosis
2022-03-01 03:02:45,550 | cryptocurrency_data_ingestion | WARNING | Invalid slug obtained from API with coin name: celsius-network. Finding new coin.
2022-03-01 03:02:46,175 | cryptocurrency_data_ingestion | INFO | SUCCESS: Data aquired for: enjin-coin
2022-03-01 03:02:46,175 | cryptocurrency_data_ingestion | INFO | SUCCESS: Description aquired for: enjin-coin
2022-03-01 03:02:49,697 | cryptocurrency_data_ingestion | INFO | SUCCESS: Data aquired for: crowdholding
2022-03-01 03:02:49,697 | cryptocurrency_data_ingestion | INFO | SUCCESS: Description aquired for: crowdholding
2022-03-01 03:02:53,249 | cryptocurrency_data_ingestion | INFO | SUCCESS: Data aquired for: chainbing
2022-03-01 03:02:53,249 | cryptocurrency_data_ingestion | INFO | SUCCESS: Description aquired for: chainbing
2022-03-01 03:02:56,975 | cryptocurrency_data_ingestion | INFO | SUCCESS: Data aquired for: kadena
2022-03-01 03:02:56,975 | cryptocurrency_data_ingestion | INFO | SUCCESS: Description aquired for: kadena
2022-03-01 03:03:00,647 | cryptocurrency_data_ingestion | INFO | SUCCESS: Data aquired for: nexo
2022-03-01 03:03:00,647 | cryptocurrency_data_ingestion | INFO | SUCCESS: Description aquired for: nexo
2022-03-01 03:03:04,341 | cryptocurrency_data_ingestion | INFO | SUCCESS: Data aquired for: chiliz
2022-03-01 03:03:04,341 | cryptocurrency_data_ingestion | INFO | SUCCESS: Description aquired for: chiliz
2022-03-01 03:03:07,881 | cryptocurrency_data_ingestion | INFO | SUCCESS: Data aquired for: youcash
2022-03-01 03:03:07,881 | cryptocurrency_data_ingestion | INFO | SUCCESS: Description aquired for: youcash
2022-03-01 03:03:11,435 | cryptocurrency_data_ingestion | INFO | SUCCESS: Data aquired for: celo
2022-03-01 03:03:11,435 | cryptocurrency_data_ingestion | INFO | SUCCESS: Description aquired for: celo
2022-03-01 03:03:15,004 | cryptocurrency_data_ingestion | INFO | SUCCESS: Data aquired for: curve-dao-token
2022-03-01 03:03:15,004 | cryptocurrency_data_ingestion | INFO | SUCCESS: Description aquired for: curve-dao-token
2022-03-01 03:03:18,661 | cryptocurrency_data_ingestion | INFO | SUCCESS: Data aquired for: kusama
2022-03-01 03:03:18,661 | cryptocurrency_data_ingestion | INFO | SUCCESS: Description aquired for: kusama
2022-03-01 03:03:22,266 | cryptocurrency_data_ingestion | INFO | SUCCESS: Data aquired for: basic-attention-token
2022-03-01 03:03:22,266 | cryptocurrency_data_ingestion | INFO | SUCCESS: Description aquired for: basic-attention-token
2022-03-01 03:03:25,924 | cryptocurrency_data_ingestion | INFO | SUCCESS: Data aquired for: ecomi
2022-03-01 03:03:25,924 | cryptocurrency_data_ingestion | INFO | SUCCESS: Description aquired for: ecomi
2022-03-01 03:03:29,458 | cryptocurrency_data_ingestion | INFO | SUCCESS: Data aquired for: loopring
2022-03-01 03:03:29,458 | cryptocurrency_data_ingestion | INFO | SUCCESS: Description aquired for: loopring
2022-03-01 03:03:32,997 | cryptocurrency_data_ingestion | INFO | SUCCESS: Data aquired for: dash
2022-03-01 03:03:32,997 | cryptocurrency_data_ingestion | INFO | SUCCESS: Description aquired for: dash
2022-03-01 03:03:36,676 | cryptocurrency_data_ingestion | INFO | SUCCESS: Data aquired for: amp
2022-03-01 03:03:36,676 | cryptocurrency_data_ingestion | INFO | SUCCESS: Description aquired for: amp
2022-03-01 03:03:40,236 | cryptocurrency_data_ingestion | INFO | SUCCESS: Data aquired for: arweave
2022-03-01 03:03:40,236 | cryptocurrency_data_ingestion | INFO | SUCCESS: Description aquired for: arweave
2022-03-01 03:03:43,878 | cryptocurrency_data_ingestion | INFO | SUCCESS: Data aquired for: convex-finance
2022-03-01 03:03:43,878 | cryptocurrency_data_ingestion | INFO | SUCCESS: Description aquired for: convex-finance
2022-03-01 03:03:47,489 | cryptocurrency_data_ingestion | INFO | SUCCESS: Data aquired for: nem
2022-03-01 03:03:47,489 | cryptocurrency_data_ingestion | INFO | SUCCESS: Description aquired for: nem
2022-03-01 03:03:51,161 | cryptocurrency_data_ingestion | INFO | SUCCESS: Data aquired for: theta-fuel
2022-03-01 03:03:51,161 | cryptocurrency_data_ingestion | INFO | SUCCESS: Description aquired for: theta-fuel
2022-03-01 03:03:54,501 | cryptocurrency_data_ingestion | WARNING | Invalid slug obtained from API with coin name: pax-dollar. Finding new coin.
2022-03-01 03:03:54,829 | cryptocurrency_data_ingestion | WARNING | Invalid slug obtained from API with coin name: oasis-network. Finding new coin.
2022-03-01 03:03:55,391 | cryptocurrency_data_ingestion | INFO | SUCCESS: Data aquired for: anchor-protocol
2022-03-01 03:03:55,391 | cryptocurrency_data_ingestion | INFO | SUCCESS: Description aquired for: anchor-protocol
2022-03-01 03:03:59,174 | cryptocurrency_data_ingestion | INFO | SUCCESS: Data aquired for: decred
2022-03-01 03:03:59,174 | cryptocurrency_data_ingestion | INFO | SUCCESS: Description aquired for: decred
2022-03-01 03:04:02,790 | cryptocurrency_data_ingestion | INFO | SUCCESS: Data aquired for: symbol
2022-03-01 03:04:02,790 | cryptocurrency_data_ingestion | INFO | SUCCESS: Description aquired for: symbol
2022-03-01 03:04:06,443 | cryptocurrency_data_ingestion | INFO | SUCCESS: Data aquired for: mina-protocol
2022-03-01 03:04:06,443 | cryptocurrency_data_ingestion | INFO | SUCCESS: Description aquired for: mina-protocol
2022-03-01 03:04:10,005 | cryptocurrency_data_ingestion | INFO | SUCCESS: Data aquired for: bora
2022-03-01 03:04:10,005 | cryptocurrency_data_ingestion | INFO | SUCCESS: Description aquired for: bora
2022-03-01 03:04:13,567 | cryptocurrency_data_ingestion | INFO | SUCCESS: Data aquired for: compound
2022-03-01 03:04:13,567 | cryptocurrency_data_ingestion | INFO | SUCCESS: Description aquired for: compound
2022-03-01 03:04:17,105 | cryptocurrency_data_ingestion | INFO | SUCCESS: Data aquired for: holo
2022-03-01 03:04:17,105 | cryptocurrency_data_ingestion | INFO | SUCCESS: Description aquired for: holo
2022-03-01 03:04:20,642 | cryptocurrency_data_ingestion | INFO | SUCCESS: Data aquired for: bitkub-coin
2022-03-01 03:04:20,642 | cryptocurrency_data_ingestion | INFO | SUCCESS: Description aquired for: bitkub-coin
2022-03-01 03:04:23,995 | cryptocurrency_data_ingestion | WARNING | Invalid slug obtained from API with coin name: yearn.finance. Finding new coin.
2022-03-01 03:04:24,611 | cryptocurrency_data_ingestion | INFO | SUCCESS: Data aquired for: iotex
2022-03-01 03:04:24,611 | cryptocurrency_data_ingestion | INFO | SUCCESS: Description aquired for: iotex
2022-03-01 03:04:28,298 | cryptocurrency_data_ingestion | INFO | SUCCESS: Data aquired for: nexus-mutual
2022-03-01 03:04:28,298 | cryptocurrency_data_ingestion | INFO | SUCCESS: Description aquired for: nexus-mutual
2022-03-01 03:04:31,836 | cryptocurrency_data_ingestion | INFO | SUCCESS: Data aquired for: bitdao
2022-03-01 03:04:31,836 | cryptocurrency_data_ingestion | INFO | SUCCESS: Description aquired for: bitdao
2022-03-01 03:04:35,405 | cryptocurrency_data_ingestion | INFO | SUCCESS: Data aquired for: liquity-usd
2022-03-01 03:04:35,405 | cryptocurrency_data_ingestion | INFO | SUCCESS: Description aquired for: liquity-usd
2022-03-01 03:04:39,155 | cryptocurrency_data_ingestion | INFO | SUCCESS: Data aquired for: marinade-staked-sol
2022-03-01 03:04:39,155 | cryptocurrency_data_ingestion | INFO | SUCCESS: Description aquired for: marinade-staked-sol
2022-03-01 03:04:42,780 | cryptocurrency_data_ingestion | INFO | SUCCESS: Data aquired for: wemix-token
2022-03-01 03:04:42,780 | cryptocurrency_data_ingestion | INFO | SUCCESS: Description aquired for: wemix-token
2022-03-01 03:04:46,411 | cryptocurrency_data_ingestion | INFO | SUCCESS: Data aquired for: qtum
2022-03-01 03:04:46,411 | cryptocurrency_data_ingestion | INFO | SUCCESS: Description aquired for: qtum
2022-03-01 03:04:49,719 | cryptocurrency_data_ingestion | WARNING | Invalid slug obtained from API with coin name: xinfin-network. Finding new coin.
2022-03-01 03:04:50,297 | cryptocurrency_data_ingestion | INFO | SUCCESS: Data aquired for: ravencoin
2022-03-01 03:04:50,297 | cryptocurrency_data_ingestion | INFO | SUCCESS: Description aquired for: ravencoin
2022-03-01 03:04:53,828 | cryptocurrency_data_ingestion | INFO | SUCCESS: Data aquired for: gnosis
2022-03-01 03:04:53,828 | cryptocurrency_data_ingestion | INFO | SUCCESS: Description aquired for: gnosis
2022-03-01 03:04:57,381 | cryptocurrency_data_ingestion | INFO | SUCCESS: Data aquired for: ruby-currency
2022-03-01 03:04:57,381 | cryptocurrency_data_ingestion | INFO | SUCCESS: Description aquired for: ruby-currency
2022-03-01 03:05:00,939 | cryptocurrency_data_ingestion | INFO | SUCCESS: Data aquired for: renbtc
